mbary all red blue
129244659.62305555 31 1 30
204838981.19853413 17 3 14
324647906.85222626 42 13 29
514532257.5168422 166 24 142
815478672.2400904 299 57 242
1292446596.2305448 259 55 204
2048389811.9853249 245 41 204
3246479068.522236 196 34 162
5145322575.16838 162 29 133
8154786722.400838 138 42 96
12924465962.305344 131 46 85
20483898119.853077 90 49 41
32464790685.22209 61 32 29
51453225751.68338 59 39 20
81547867224.00772 45 29 16
129244659623.05237 14 13 1
204838981198.5291 4 3 1
324647906852.21826 0 0 0
514532257516.8296 1 0 1
