mstar all red blue
129244659.62305555 156 7 149
204838981.19853413 196 20 176
324647906.85222626 240 27 213
514532257.5168422 210 36 174
815478672.2400904 161 44 117
1292446596.2305448 151 40 111
2048389811.9853249 114 30 84
3246479068.522236 86 28 58
5145322575.16838 101 36 65
8154786722.400838 103 41 62
12924465962.305344 82 42 40
20483898119.853077 71 44 27
32464790685.22209 53 33 20
51453225751.68338 53 37 16
81547867224.00772 36 25 11
129244659623.05237 13 13 0
204838981198.5291 4 3 1
324647906852.21826 0 0 0
514532257516.8296 1 0 1
