name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,mhi,emhi,grpsig_gapper,grprproj_smooth,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_dyn_gapper,grpsig_smooth,logmh,grpn,grprproj,grp,grpsig_stack,logmh_dyn_smooth
rf0001 ,0.02,0.26,0.03,0.01,0.27,0.08,15.38,0.14,-99.0,19.0,0.05,-1.1128886,0.12,0.37,0.19,0.19,0.013432752,0.1,-99.0,15.84,3.32,17.69,16.48,17.32,0.42,1.55,-0.02,-99.0,17.15,0.81,0.33,6.89,-99.0,0.02,2.45,3.25,1.33,1.17,8.51,-99.0,6683.8,-99.0,0.04,-17.68,2.35,17.05,0.34,0.04,0.04,6683.8,0.06,0.24,0.03,15.47,18.64,1,470416000.0,39321900.0,0.0,0.0,0.0,-17.6787,0.0,0.0,0.0,0.0,10.9529,1.0,0.0,1.0,0.0,0.0
rf0002 ,0.02,0.69,0.03,0.01,-99.0,0.06,13.46,0.12,12.72,20.7,0.05,0.84866485,0.02,0.35,0.17,0.16,1.146787,0.08,0.44,14.53,3.11,17.08,14.92,16.33,1.02,2.34,-0.03,14.27,15.94,0.6,0.28,9.78,0.29,0.02,3.81,4.71,2.5,2.17,9.57,-99.0,6583.8,-99.0,0.02,-18.62,3.24,15.67,0.29,0.04,0.03,6583.8,0.18,0.09,0.02,-99.0,18.62,1,135039000.0,0.0,0.0,0.0,0.0,-18.6212,0.0,0.0,0.0,0.0,11.1319,1.0,0.0,3.0,0.0,0.0
rf0003 ,0.01,0.56,0.02,0.01,0.07,0.05,14.5,0.1,14.35,19.91,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.86,2.19,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35,4.27,2.03,1.73,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.1,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,644431000.0,50059500.0,0.0,0.0,0.0,-17.6492,0.0,0.0,0.0,0.0,10.9459,1.0,0.0,5.0,0.0,0.0
rf0004 ,0.02,0.44,0.03,0.01,0.26,0.08,13.27,0.14,14.11,17.01,0.06,-1.0870759,0.09,0.87,0.38,0.2,2.9560889,0.1,0.98,13.24,15.28,15.2,14.54,14.61,0.64,1.73,-0.01,13.09,13.8,0.95,0.35,33.3,0.15,0.03,2.82,3.53,1.73,1.53,9.67,-99.0,6365.9,-99.0,0.03,-20.29,2.44,14.27,0.36,0.05,0.03,6365.9,0.02,0.51,0.02,13.42,16.2,1,3981670000.0,585540000.0,0.0,0.0,0.0,-20.2858,0.0,0.0,0.0,0.0,11.5739,1.0,0.0,388.0,0.0,0.0
rf0005 ,0.02,0.76,0.03,0.01,-99.0,0.06,-99.0,0.12,10.54,18.68,0.05,-0.41511957,0.02,-99.0,0.07,0.16,3.0254612,0.09,0.06,11.48,8.21,14.21,11.99,13.4,1.11,2.52,-0.04,10.75,13.0,0.66,0.29,29.02,0.13,0.02,4.08,5.01,2.68,2.32,10.67,-99.0,5565.4,-99.0,0.02,-21.18,3.44,12.73,0.29,0.04,0.05,5565.4,0.08,0.05,0.02,-99.0,15.9,1,958269000.0,0.0,0.0,0.0,0.0,-21.1832,0.0,0.0,0.0,0.0,11.9579,1.0,0.0,6.0,0.0,0.0
rf0006 ,0.03,0.52,0.04,0.02,0.18,0.1,14.61,0.18,14.09,19.81,0.07,-1.108172,0.04,0.65,0.42,0.25,4.1918919,0.13,0.24,15.38,4.68,17.27,15.5,16.65,0.78,1.95,0.15,14.59,16.3,0.94,0.44,13.39,0.1,0.03,3.19,3.97,2.03,1.77,9.13,-99.0,5543.7,-99.0,0.02,-17.98,2.72,16.09,0.46,0.06,0.09,5543.7,0.03,0.26,0.02,14.95,18.53,1,47410100.0,0.0,0.0,0.0,0.0,-17.9798,0.0,0.0,0.0,0.0,11.0109,1.0,0.0,7.0,0.0,0.0
rf0007 ,0.02,0.52,0.03,0.01,0.23,0.08,-99.0,0.14,12.23,17.66,0.06,-0.9580395,0.04,-99.0,0.06,0.19,4.2867326,0.1,0.26,13.2,10.3,15.54,13.6,14.95,0.79,2.09,-0.02,12.69,14.63,0.61,0.35,19.42,0.17,0.03,3.28,4.17,1.98,1.71,9.79,-99.0,5680.45,-99.0,0.02,-19.75,2.98,14.42,0.35,0.05,0.03,5811.1,0.02,0.16,0.02,12.72,16.81,1,1784630000.0,80839400.0,231.571,64.8986,64.8986,-21.0151,12.7242,184.767,12.9204,64.8986,11.8699,2.0,0.0530465,8.0,64.8986,12.2867
rf0008 ,0.02,0.57,0.03,0.01,0.05,0.08,-99.0,0.14,11.14,16.86,0.06,-0.97832513,0.02,-99.0,0.03,0.2,4.3577793,0.1,0.14,12.17,11.75,14.64,12.65,13.99,0.88,2.25,-0.06,11.5,13.65,0.54,0.35,23.02,0.02,0.02,3.48,4.42,2.11,1.8,10.21,-99.0,5680.45,-99.0,0.03,-20.61,3.19,13.38,0.36,0.05,0.09,5549.8,0.02,0.06,0.03,11.59,15.86,1,518501000.0,0.0,231.571,64.8986,64.8986,-21.0151,12.7242,184.767,12.9204,64.8986,11.8699,2.0,0.0530465,8.0,64.8986,12.2867
rf0009 ,0.01,0.31,0.02,0.01,0.32,0.05,-99.0,0.1,13.87,18.72,0.04,0.50624571,0.04,-99.0,0.2,0.13,4.4165136,0.07,0.92,15.38,5.63,17.1,15.95,16.7,0.48,1.59,0.21,14.62,16.52,0.3,0.23,15.33,0.12,0.02,2.6,3.37,1.49,1.32,8.65,-99.0,5330.5,-99.0,0.03,-17.78,2.36,16.38,0.24,0.03,0.03,5330.5,0.05,0.13,0.02,15.4,18.16,1,71033500.0,10207500.0,0.0,0.0,0.0,-17.7805,0.0,0.0,0.0,0.0,10.9719,1.0,0.0,9.0,0.0,0.0
rf0010 ,0.02,0.21,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,17.91,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.34,1.42,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.18,2.95,1.1,0.97,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,2943410000.0,128595000.0,129.685,69.1947,69.1947,-20.1329,12.594,109.8,12.7385,69.1947,11.5089,2.0,0.11128,10.0,69.1947,12.2692
rf0011 ,0.02,0.27,0.03,0.01,0.41,0.06,-99.0,0.11,12.36,16.53,0.04,0.33532953,0.02,-99.0,-99.0,0.14,4.4808912,0.08,0.5,13.38,12.26,14.99,-99.0,14.64,0.43,1.58,-0.08,12.13,14.39,0.72,0.25,35.78,1.2,0.04,2.54,3.35,1.4,1.23,9.43,-99.0,5498.7,-99.0,0.05,-19.93,2.39,14.28,0.26,0.03,0.03,5550.7,0.02,0.33,0.04,13.03,15.88,1,3056880000.0,133553000.0,129.685,69.1947,69.1947,-20.1329,12.594,109.8,12.7385,69.1947,11.5089,2.0,0.11128,10.0,69.1947,12.2692
rf0012 ,0.01,0.25,0.02,0.01,0.68,0.05,15.93,0.1,-99.0,19.25,0.04,0.66181355,0.04,0.55,-99.0,0.13,4.7535735,0.07,-99.0,-99.0,2.46,17.99,-99.0,17.68,0.41,1.54,-0.01,-99.0,17.51,0.83,0.23,5.3,-99.0,0.02,2.39,3.2,1.26,1.11,8.15,-99.0,5541.2,-99.0,0.04,-16.88,2.35,17.36,0.24,0.03,0.04,5541.2,0.1,-99.0,0.02,15.91,18.9,0,441462000.0,0.0,0.0,0.0,0.0,-16.8824,0.0,0.0,0.0,0.0,10.8192,1.0,0.0,400.0,0.0,0.0
rf0013 ,0.02,0.57,0.02,0.01,0.03,0.05,12.13,0.1,12.08,18.56,0.04,0.59081703,0.03,0.2,0.03,0.14,4.9472732,0.07,0.1,13.1,4.9,15.49,13.57,14.84,0.88,2.19,0.12,12.36,14.5,0.59,0.24,15.31,0.25,0.02,3.6,4.53,2.29,1.98,9.79,-99.0,5469.5,-99.0,0.03,-19.69,3.12,14.27,0.25,0.03,0.05,5469.5,0.04,0.06,0.02,12.54,16.95,1,239056000.0,0.0,0.0,0.0,0.0,-19.6936,0.0,0.0,0.0,0.0,11.3889,1.0,0.0,11.0,0.0,0.0
rf0014 ,0.01,0.32,0.02,0.01,0.33,0.05,15.55,0.09,-99.0,19.58,0.04,0.6539677,0.05,0.7,0.37,0.13,5.0072566,0.07,-99.0,-99.0,6.2,17.73,16.52,17.32,0.5,1.64,-0.08,14.95,17.12,0.35,0.23,12.27,1.05,0.03,2.71,3.51,1.57,1.39,8.51,-99.0,5850.6,-99.0,0.03,-17.36,2.44,17.02,0.23,0.03,0.03,5850.6,0.05,-99.0,0.02,15.28,18.83,1,420433000.0,38279600.0,207.023,0.0,0.0,-17.8645,12.8148,165.18,13.0109,0.0,10.8979,1.0,0.0817633,12.0,0.0,0.0
rf0015 ,0.01,0.72,0.02,0.01,0.11,0.05,10.97,0.09,10.76,18.19,0.04,0.82660918,0.02,0.22,0.04,0.13,5.1077407,0.07,0.13,11.72,14.64,14.58,12.41,13.79,1.08,2.57,-0.06,11.06,13.38,0.6,0.23,31.75,0.11,0.02,4.15,5.12,2.66,2.3,10.35,-99.0,5293.5,-99.0,0.02,-20.64,3.53,13.11,0.23,0.03,0.12,5232.0,0.02,0.04,0.02,11.31,16.21,1,581881000.0,0.0,109.006,72.9255,72.9255,-20.7069,11.8172,86.9741,12.0133,72.9255,11.7379,2.0,0.0296522,13.0,72.9255,12.3127
rf0016 ,0.01,0.74,0.02,0.01,0.13,0.05,10.36,0.09,10.45,18.4,0.04,0.83361606,0.02,0.22,0.01,0.13,5.114721,0.07,0.09,11.48,13.18,13.9,11.88,13.09,1.09,2.39,-0.04,10.77,12.66,0.75,0.23,68.33,0.04,0.02,3.91,4.81,2.6,2.26,10.77,-99.0,5736.92,-99.0,0.06,-21.51,3.29,12.39,0.23,0.03,0.07,5632.0,0.08,0.11,0.02,10.71,15.49,1,2383230000.0,229157000.0,152.83,69.2822,69.2822,-21.5563,12.9289,135.2,13.0354,69.2822,12.1659,3.0,0.158731,14.0,69.2822,12.3279
rf0017 ,0.01,0.41,0.02,0.01,0.53,0.05,14.57,0.1,-99.0,19.31,0.04,0.54122065,0.08,0.65,0.2,0.13,5.1195847,0.07,-99.0,15.7,3.27,17.43,16.02,16.96,0.63,1.83,0.16,14.48,16.69,0.72,0.23,9.89,0.26,0.02,2.93,3.76,1.73,1.51,8.75,-99.0,5521.8,-99.0,0.08,-17.6,2.66,16.53,0.24,0.03,0.13,5521.8,0.03,0.16,0.02,14.8,18.54,1,187429000.0,17821700.0,0.0,0.0,0.0,-17.5962,0.0,0.0,0.0,0.0,10.9379,1.0,0.0,15.0,0.0,0.0
